model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../1_emscoring/emscoring_82.pdb	-	1	-157.149	0.910	0.897	2.201	1.456	0.855	1.016	2	1	1	0.000	296.229	64.664	2000.130	0.000	0.000	0.000	7.345	2068.230	-599.183	84.513	0.000	0.000	0.000	-643.841	-44.658	0.000	0.000
../1_emscoring/emscoring_2.pdb	-	2	-156.452	0.880	0.948	1.949	1.355	0.881	0.989	2	1	2	0.000	298.570	59.587	1914.860	0.000	0.000	0.000	3.125	2052.880	-504.372	85.779	0.000	0.000	0.000	-563.075	-58.703	0.000	0.000
../1_emscoring/emscoring_64.pdb	-	3	-138.214	1.052	0.914	3.039	1.955	0.824	1.294	2	1	3	0.000	286.361	53.633	1784.350	0.000	0.000	0.000	-2.359	2040.230	-424.542	77.017	0.000	0.000	0.000	-475.489	-50.947	0.000	0.000
../1_emscoring/emscoring_40.pdb	-	4	-135.230	1.085	0.897	1.866	1.756	0.836	1.144	2	1	4	0.000	299.170	56.868	1875.210	0.000	0.000	0.000	3.490	2034.370	-429.067	87.524	0.000	0.000	0.000	-481.973	-52.906	0.000	0.000
../1_emscoring/emscoring_37.pdb	-	5	-134.569	13.624	0.069	22.589	21.764	0.068	13.881	5	2	1	0.000	305.568	67.872	1802.890	0.000	0.000	0.000	6.081	2050.950	-426.815	93.743	0.000	0.000	0.000	-482.102	-55.287	0.000	0.000
../1_emscoring/emscoring_22.pdb	-	6	-129.571	4.855	0.155	11.612	10.609	0.197	4.234	8	3	1	0.000	309.609	62.278	1591.470	0.000	0.000	0.000	8.217	2058.920	-345.081	86.168	0.000	0.000	0.000	-413.853	-68.772	0.000	0.000
../1_emscoring/emscoring_52.pdb	-	7	-129.214	1.011	0.845	2.579	2.102	0.816	0.992	2	1	5	0.000	295.483	58.724	1942.120	0.000	0.000	0.000	-1.992	2033.390	-441.380	85.500	0.000	0.000	0.000	-480.325	-38.945	0.000	0.000
../1_emscoring/emscoring_42.pdb	-	8	-126.608	4.140	0.310	8.359	7.373	0.312	4.302	11	4	1	0.000	298.984	67.536	1988.070	0.000	0.000	0.000	-1.503	2060.580	-365.308	87.714	0.000	0.000	0.000	-417.351	-52.043	0.000	0.000
../1_emscoring/emscoring_16.pdb	-	9	-124.694	1.578	0.690	5.665	3.914	0.619	1.824	2	1	6	0.000	292.162	56.235	1788.950	0.000	0.000	0.000	4.026	2042.780	-442.889	85.311	0.000	0.000	0.000	-483.032	-40.142	0.000	0.000
../1_emscoring/emscoring_58.pdb	-	10	-124.561	15.088	0.069	23.327	21.975	0.065	14.384	4	5	1	0.000	297.993	59.562	1928.110	0.000	0.000	0.000	10.414	2062.560	-383.332	80.054	0.000	0.000	0.000	-441.642	-58.309	0.000	0.000
../1_emscoring/emscoring_41.pdb	-	11	-121.991	3.207	0.345	6.985	5.957	0.374	3.200	11	4	2	0.000	296.247	59.682	1877.030	0.000	0.000	0.000	10.576	2046.400	-455.098	86.782	0.000	0.000	0.000	-496.645	-41.547	0.000	0.000
../1_emscoring/emscoring_27.pdb	-	12	-117.993	5.050	0.172	11.356	10.758	0.204	4.474	8	3	2	0.000	294.765	50.069	1558.210	0.000	0.000	0.000	5.292	2021.920	-261.772	81.098	0.000	0.000	0.000	-332.703	-70.931	0.000	0.000
../1_emscoring/emscoring_65.pdb	-	13	-117.549	14.313	0.069	22.748	21.653	0.067	13.983	4	5	2	0.000	305.283	51.569	1884.710	0.000	0.000	0.000	8.043	2061.200	-429.305	84.179	0.000	0.000	0.000	-469.036	-39.731	0.000	0.000
../1_emscoring/emscoring_34.pdb	-	14	-116.881	14.790	0.103	23.358	22.786	0.077	14.405	5	2	2	0.000	285.967	54.737	1874.880	0.000	0.000	0.000	1.959	2052.390	-327.694	73.908	0.000	0.000	0.000	-380.995	-53.302	0.000	0.000
../1_emscoring/emscoring_56.pdb	-	15	-116.102	14.911	0.069	23.890	21.731	0.064	14.484	4	5	3	0.000	300.398	65.952	1949.710	0.000	0.000	0.000	11.791	2066.660	-277.108	82.224	0.000	0.000	0.000	-349.580	-72.472	0.000	0.000
../1_emscoring/emscoring_21.pdb	-	16	-115.617	9.048	0.086	19.461	17.052	0.091	9.295	1	6	1	0.000	290.220	58.681	1424.600	0.000	0.000	0.000	4.979	2055.340	-394.873	77.851	0.000	0.000	0.000	-436.494	-41.622	0.000	0.000
../1_emscoring/emscoring_81.pdb	-	17	-114.198	15.375	0.103	27.991	25.396	0.066	14.732	7	7	1	0.000	290.625	53.870	1975.610	0.000	0.000	0.000	11.359	2061.210	-336.892	77.982	0.000	0.000	0.000	-395.072	-58.179	0.000	0.000
../1_emscoring/emscoring_63.pdb	-	18	-114.023	14.802	0.069	22.832	21.825	0.067	14.224	4	5	4	0.000	296.806	56.475	1837.860	0.000	0.000	0.000	6.709	2048.320	-350.202	82.117	0.000	0.000	0.000	-400.894	-50.692	0.000	0.000
