model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../01_rigidbody/rigidbody_53.pdb	-	29	0.759	14.754	0.069	23.384	22.568	0.065	14.378	-	-	-	1067.310	1334.100	201.972	1164.890	0.000	0.000	0.000	10.314	2032.780	-8.713	5372.900	0.000	0.000	0.000	1072.040	13.439	0.000	0.000
../01_rigidbody/rigidbody_16.pdb	-	30	0.855	1.165	0.828	2.466	2.440	0.791	1.161	-	-	-	1104.800	1334.100	201.968	1632.050	0.000	0.000	0.000	10.401	2032.780	-4.271	5372.900	0.000	0.000	0.000	1100.300	-0.228	0.000	0.000
../01_rigidbody/rigidbody_29.pdb	-	31	1.115	14.775	0.069	23.413	22.561	0.065	14.389	-	-	-	1108.230	1334.100	201.956	1140.540	0.000	0.000	0.000	10.320	2032.770	-9.062	5372.900	0.000	0.000	0.000	1117.170	18.000	0.000	0.000
../01_rigidbody/rigidbody_83.pdb	-	32	1.249	10.671	0.034	20.711	18.634	0.066	11.111	-	-	-	1425.410	1334.100	201.961	1207.560	0.000	0.000	0.000	1.635	2032.770	-2.690	5372.900	0.000	0.000	0.000	1435.360	12.641	0.000	0.000
../01_rigidbody/rigidbody_71.pdb	-	33	1.251	1.167	0.828	2.341	2.332	0.793	1.194	-	-	-	1169.050	1334.100	201.961	1639.360	0.000	0.000	0.000	10.300	2032.780	-4.431	5372.900	0.000	0.000	0.000	1173.180	8.563	0.000	0.000
../01_rigidbody/rigidbody_85.pdb	-	34	1.359	12.494	0.034	21.375	21.139	0.062	12.552	-	-	-	1131.840	1334.100	201.950	1195.040	0.000	0.000	0.000	5.097	2032.770	-3.291	5372.900	0.000	0.000	0.000	1147.080	18.533	0.000	0.000
../01_rigidbody/rigidbody_66.pdb	-	35	1.363	7.322	0.069	14.898	15.241	0.118	7.026	-	-	-	1101.060	1334.100	201.973	818.604	0.000	0.000	0.000	3.543	2032.780	-5.080	5372.900	0.000	0.000	0.000	1103.490	7.506	0.000	0.000
../01_rigidbody/rigidbody_74.pdb	-	36	1.386	14.823	0.069	23.468	22.619	0.065	14.397	-	-	-	990.110	1334.100	201.961	1127.690	0.000	0.000	0.000	10.584	2032.780	-8.001	5372.900	0.000	0.000	0.000	1000.120	18.009	0.000	0.000
../01_rigidbody/rigidbody_23.pdb	-	37	1.481	14.774	0.069	23.414	22.583	0.065	14.383	-	-	-	1267.630	1334.100	201.962	1165.250	0.000	0.000	0.000	9.280	2032.770	-9.135	5372.900	0.000	0.000	0.000	1289.720	31.221	0.000	0.000
../01_rigidbody/rigidbody_86.pdb	-	38	1.574	10.590	0.034	20.890	18.574	0.065	11.065	-	-	-	1359.420	1334.100	201.971	1189.760	0.000	0.000	0.000	3.155	2032.770	-3.440	5372.900	0.000	0.000	0.000	1372.150	16.169	0.000	0.000
../01_rigidbody/rigidbody_55.pdb	-	39	1.884	4.901	0.190	10.637	9.866	0.222	5.138	-	-	-	1197.740	1334.100	201.958	1086.070	0.000	0.000	0.000	7.453	2032.780	-6.960	5372.900	0.000	0.000	0.000	1218.250	27.465	0.000	0.000
../01_rigidbody/rigidbody_34.pdb	-	40	1.906	10.741	0.052	19.683	18.873	0.076	10.914	-	-	-	899.238	1334.100	201.967	1117.740	0.000	0.000	0.000	13.213	2032.770	-9.138	5372.900	0.000	0.000	0.000	891.697	1.597	0.000	0.000
../01_rigidbody/rigidbody_75.pdb	-	41	1.976	14.801	0.069	23.450	22.594	0.065	14.383	-	-	-	1308.770	1334.100	201.975	1173.870	0.000	0.000	0.000	8.507	2032.770	-8.259	5372.900	0.000	0.000	0.000	1338.340	37.835	0.000	0.000
../01_rigidbody/rigidbody_20.pdb	-	42	1.994	5.054	0.190	12.068	10.878	0.201	4.576	-	-	-	1404.640	1334.100	201.966	1346.780	0.000	0.000	0.000	5.464	2032.780	-4.101	5372.900	0.000	0.000	0.000	1405.750	5.214	0.000	0.000
../01_rigidbody/rigidbody_94.pdb	-	43	2.098	10.659	0.052	19.837	18.782	0.075	10.890	-	-	-	912.031	1334.100	201.956	1117.510	0.000	0.000	0.000	12.084	2032.770	-7.986	5372.900	0.000	0.000	0.000	909.474	5.429	0.000	0.000
../01_rigidbody/rigidbody_77.pdb	-	44	2.247	5.936	0.155	13.132	11.866	0.170	6.114	-	-	-	886.552	1334.100	201.971	1077.010	0.000	0.000	0.000	7.163	2032.770	-3.044	5372.900	0.000	0.000	0.000	886.776	3.268	0.000	0.000
