model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../04_flexref/flexref_10.pdb	-	1	-336.812	1.260	0.776	4.159	3.016	0.723	1.341	-	-	-	146.656	1126.550	179.060	1861.200	0.000	0.000	0.000	7.952	2045.420	-313.450	5275.090	0.000	0.000	0.000	-194.161	-27.367	0.000	0.000
../04_flexref/flexref_5.pdb	-	2	-317.142	2.296	0.517	5.890	4.593	0.497	2.370	-	-	-	213.452	1170.520	185.589	1860.090	0.000	0.000	0.000	7.822	2046.130	-306.087	5292.170	0.000	0.000	0.000	-114.257	-21.622	0.000	0.000
../04_flexref/flexref_6.pdb	-	3	-312.938	1.523	0.741	3.491	3.223	0.697	1.502	-	-	-	149.134	1134.670	180.643	1879.860	0.000	0.000	0.000	4.363	2058.510	-296.243	5272.510	0.000	0.000	0.000	-164.281	-17.172	0.000	0.000
../04_flexref/flexref_2.pdb	-	4	-290.876	1.395	0.845	3.825	2.957	0.738	1.551	-	-	-	117.368	1146.270	180.525	1714.150	0.000	0.000	0.000	-6.451	2058.950	-238.000	5283.890	0.000	0.000	0.000	-161.653	-41.021	0.000	0.000
../04_flexref/flexref_4.pdb	-	5	-237.438	5.018	0.138	11.486	10.700	0.191	4.458	-	-	-	171.433	1175.800	183.848	1593.790	0.000	0.000	0.000	6.958	2055.550	-192.952	5300.140	0.000	0.000	0.000	-74.168	-52.649	0.000	0.000
../04_flexref/flexref_7.pdb	-	6	-226.798	4.893	0.138	10.927	10.468	0.200	4.153	-	-	-	181.086	1178.590	184.922	1594.450	0.000	0.000	0.000	2.439	2043.980	-179.291	5308.060	0.000	0.000	0.000	-50.315	-52.110	0.000	0.000
../04_flexref/flexref_3.pdb	-	7	-223.913	10.399	0.052	19.698	18.348	0.076	10.713	-	-	-	124.516	1170.860	187.092	1430.870	0.000	0.000	0.000	4.754	2055.580	-192.644	5293.060	0.000	0.000	0.000	-102.295	-34.167	0.000	0.000
../04_flexref/flexref_9.pdb	-	8	-196.245	4.992	0.121	12.644	11.162	0.172	4.414	-	-	-	227.160	1184.950	184.842	1410.740	0.000	0.000	0.000	4.487	2044.380	-171.224	5307.760	0.000	0.000	0.000	17.820	-38.116	0.000	0.000
../04_flexref/flexref_1.pdb	-	9	-180.845	11.215	0.052	20.928	19.488	0.070	11.410	-	-	-	153.669	1179.840	185.291	1339.610	0.000	0.000	0.000	7.397	2044.770	-158.221	5300.710	0.000	0.000	0.000	-36.544	-31.992	0.000	0.000
../04_flexref/flexref_8.pdb	-	10	-176.839	5.251	0.138	13.530	11.379	0.165	4.904	-	-	-	149.846	1180.550	183.580	1565.020	0.000	0.000	0.000	2.901	2047.110	-116.217	5298.660	0.000	0.000	0.000	-29.228	-62.857	0.000	0.000
