model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../09_seletopclusts/cluster_1_model_1.pdb	-	1	-129.035	1.351	0.862	3.731	2.772	0.751	1.557	2	1	1	111.427	278.615	52.004	1799.440	0.000	0.000	0.000	0.725	2042.510	-437.132	72.945	0.000	0.000	0.000	-379.180	-53.476	0.000	0.000
../09_seletopclusts/cluster_1_model_2.pdb	-	2	-114.462	1.502	0.810	3.387	3.100	0.724	1.498	2	1	2	144.192	281.411	52.711	1880.050	0.000	0.000	0.000	3.131	2041.260	-458.989	75.587	0.000	0.000	0.000	-355.011	-40.214	0.000	0.000
../09_seletopclusts/cluster_1_model_3.pdb	-	3	-114.217	1.296	0.776	4.068	2.974	0.721	1.350	2	1	3	132.033	283.299	51.917	1872.550	0.000	0.000	0.000	8.364	2050.640	-510.529	73.423	0.000	0.000	0.000	-412.174	-33.678	0.000	0.000
../09_seletopclusts/cluster_2_model_1.pdb	-	4	-104.329	5.030	0.138	11.433	10.667	0.192	4.474	1	2	1	156.951	288.385	55.281	1630.900	0.000	0.000	0.000	10.481	2051.880	-318.713	75.942	0.000	0.000	0.000	-228.524	-66.762	0.000	0.000
../09_seletopclusts/cluster_2_model_2.pdb	-	5	-102.729	4.898	0.138	10.914	10.455	0.200	4.177	1	2	2	176.666	278.085	54.318	1608.780	0.000	0.000	0.000	3.053	2041.780	-270.986	75.617	0.000	0.000	0.000	-163.571	-69.251	0.000	0.000
../09_seletopclusts/cluster_2_model_3.pdb	-	6	-99.054	5.235	0.138	13.400	11.275	0.167	4.902	1	2	3	142.920	288.715	52.202	1625.490	0.000	0.000	0.000	3.228	2039.870	-211.942	76.669	0.000	0.000	0.000	-143.208	-74.186	0.000	0.000
../09_seletopclusts/cluster_3_model_1.pdb	-	7	-92.747	10.346	0.052	19.657	18.275	0.077	10.697	3	3	1	125.594	280.238	51.621	1435.910	0.000	0.000	0.000	5.132	2046.740	-375.584	75.555	0.000	0.000	0.000	-285.311	-35.321	0.000	0.000
../09_seletopclusts/cluster_2_model_4.pdb	-	8	-84.902	4.983	0.121	12.563	11.100	0.173	4.422	1	2	4	188.888	285.618	52.778	1478.250	0.000	0.000	0.000	5.623	2042.170	-286.701	74.444	0.000	0.000	0.000	-149.886	-52.073	0.000	0.000
../09_seletopclusts/cluster_3_model_2.pdb	-	9	-75.725	11.167	0.086	20.850	19.398	0.082	11.392	3	3	2	148.165	273.864	52.480	1358.480	0.000	0.000	0.000	6.791	2050.100	-280.023	70.463	0.000	0.000	0.000	-173.187	-41.329	0.000	0.000
