00_topo1	1_emscoring	1_emscoring_rank
emref_54_from_haddock3-ens-emref-ensemble_50_haddock.psf	emscoring_45.pdb	71
emref_57_from_haddock3-ens-emref-ensemble_53_haddock.psf	emscoring_49.pdb	72
emref_23_from_haddock3-ens-emref-ensemble_16_haddock.psf	emscoring_8.pdb	73
emref_40_from_haddock3-ens-emref-ensemble_35_haddock.psf	emscoring_29.pdb	74
emref_79_from_haddock3-ens-emref-ensemble_77_haddock.psf	emscoring_75.pdb	75
emref_60_from_haddock3-ens-emref-ensemble_57_haddock.psf	emscoring_53.pdb	76
emref_1_from_haddock3-ens-emref-ensemble_1_haddock.psf	emscoring_1.pdb	77
emref_56_from_haddock3-ens-emref-ensemble_52_haddock.psf	emscoring_48.pdb	78
emref_14_from_haddock3-ens-emref-ensemble_6_haddock.psf	emscoring_46.pdb	79
emref_19_from_haddock3-ens-emref-ensemble_11_haddock.psf	emscoring_3.pdb	80
af3server_15052024_1_ready_from_af3-models_1_haddock.psf	emscoring_89.pdb	81
emref_55_from_haddock3-ens-emref-ensemble_51_haddock.psf	emscoring_47.pdb	82
emref_73_from_haddock3-ens-emref-ensemble_71_haddock.psf	emscoring_69.pdb	83
emref_58_from_haddock3-ens-emref-ensemble_54_haddock.psf	emscoring_50.pdb	84
emref_59_from_haddock3-ens-emref-ensemble_55_haddock.psf	emscoring_51.pdb	85
abagtest_2d03e_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000_from_af2-models_1_haddock.psf	emscoring_84.pdb	86
af3server_15052024_4_ready_from_af3-models_4_haddock.psf	emscoring_92.pdb	87
af3server_15052024_3_ready_from_af3-models_3_haddock.psf	emscoring_91.pdb	88
af3server_15052024_5_ready_from_af3-models_5_haddock.psf	emscoring_93.pdb	89
abagtest_2d03e_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000_from_af2-models_5_haddock.psf	emscoring_88.pdb	90
abagtest_2d03e_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000_from_af2-models_4_haddock.psf	emscoring_87.pdb	91
abagtest_2d03e_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000_from_af2-models_3_haddock.psf	emscoring_86.pdb	92
abagtest_2d03e_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000_from_af2-models_2_haddock.psf	emscoring_85.pdb	93
